2026-04-08 12:59:35 | ERROR    | src.database.connection | Database connection failed: connection to server at "localhost" (127.0.0.1), port 5432 failed: FATAL:  password authentication failed for user "postgres"
connection to server at "localhost" (127.0.0.1), port 5432 failed: FATAL:  password authentication failed for user "postgres"

2026-04-08 13:03:03 | INFO     | src.database.migrate | Applied migration: 001_create_tables.sql
2026-04-08 13:03:03 | INFO     | src.database.migrate | All migrations applied successfully
2026-04-08 13:03:21 | INFO     | src.database.migrate | Applied migration: 001_create_tables.sql
2026-04-08 13:03:21 | INFO     | src.database.migrate | All migrations applied successfully
2026-04-08 13:03:44 | INFO     | main | === Starting iTunes Global Rankings scrape ===
2026-04-08 13:03:49 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 13:03:49 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 13:03:49 | INFO     | src.database.repository | Saved 300 iTunes rankings to DB
2026-04-08 13:03:49 | INFO     | main | iTunes scrape complete: 300 rows saved
2026-04-08 13:04:05 | INFO     | main | === Starting iTunes Global Rankings scrape ===
2026-04-08 13:04:10 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 13:04:10 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 13:04:10 | INFO     | src.database.repository | Saved 300 iTunes rankings to DB
2026-04-08 13:04:10 | INFO     | main | iTunes scrape complete: 300 rows saved
2026-04-08 13:04:10 | INFO     | main | === Starting Spotify Artists scrape ===
2026-04-08 13:04:19 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/spotify/artists.html
2026-04-08 13:04:20 | INFO     | src.scrapers.spotify_scraper | Scraped 3000 Spotify artists
2026-04-08 13:04:20 | INFO     | src.database.repository | Saved 3000 Spotify artists to DB
2026-04-08 13:04:20 | INFO     | main | Spotify scrape complete: 3000 rows saved
2026-04-08 13:04:20 | INFO     | main | === Starting Trending Artists (last month) scrape ===
2026-04-08 13:04:20 | INFO     | src.scrapers.trending_scraper | Scraping trending artists for month: 2026-03
2026-04-08 13:04:24 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 13:04:24 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 13:04:24 | INFO     | src.scrapers.trending_scraper | Built 300 trending artist records for 2026-03
2026-04-08 13:04:24 | INFO     | src.database.repository | Saved 300 trending artist records to DB
2026-04-08 13:04:24 | INFO     | main | Trending scrape complete: 300 rows saved
2026-04-08 13:08:28 | INFO     | main | Scheduling daily scrape at 06:00 UTC ...
2026-04-08 13:08:28 | INFO     | main | Scheduler started. Press Ctrl+C to stop.
2026-04-08 13:09:02 | INFO     | main | Scheduling daily scrape at 06:00 UTC ...
2026-04-08 13:09:02 | INFO     | main | Scheduler started. Press Ctrl+C to stop.
2026-04-08 13:09:26 | INFO     | main | === Starting iTunes Global Rankings scrape ===
2026-04-08 13:09:30 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 13:09:30 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 13:09:30 | INFO     | src.database.repository | Saved 300 iTunes rankings to DB
2026-04-08 13:09:30 | INFO     | main | iTunes scrape complete: 300 rows saved
2026-04-08 13:09:30 | INFO     | main | === Starting Spotify Artists scrape ===
2026-04-08 13:09:38 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/spotify/artists.html
2026-04-08 13:09:38 | INFO     | src.scrapers.spotify_scraper | Scraped 3000 Spotify artists
2026-04-08 13:09:39 | INFO     | src.database.repository | Saved 3000 Spotify artists to DB
2026-04-08 13:09:39 | INFO     | main | Spotify scrape complete: 3000 rows saved
2026-04-08 13:09:39 | INFO     | main | === Starting Trending Artists (last month) scrape ===
2026-04-08 13:09:39 | INFO     | src.scrapers.trending_scraper | Scraping trending artists for month: 2026-03
2026-04-08 13:09:42 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 13:09:42 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 13:09:42 | INFO     | src.scrapers.trending_scraper | Built 300 trending artist records for 2026-03
2026-04-08 13:09:43 | INFO     | src.database.repository | Saved 300 trending artist records to DB
2026-04-08 13:09:43 | INFO     | main | Trending scrape complete: 300 rows saved
2026-04-08 13:14:24 | INFO     | main | Scheduling daily scrape at 06:00 UTC ...
2026-04-08 13:14:24 | INFO     | main | Scheduler started. Press Ctrl+C to stop.
2026-04-08 13:39:34 | INFO     | src.database.migrate | Applied migration: 001_create_tables.sql
2026-04-08 13:39:34 | INFO     | src.database.migrate | Applied migration: 002_create_artist_details.sql
2026-04-08 13:39:34 | INFO     | src.database.migrate | All migrations applied successfully
2026-04-08 13:39:34 | INFO     | main | === Starting Artist Details scrape ===
